storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,max_line_hazard_this_step
WP212017,DOKSURI,2017,0,1,0,0.0,0,0.0,0.0,0.0,1,0.0
WP212017,DOKSURI,2017,1,2,0,0.0,0,0.0,0.0,0.0,1,0.0
WP212017,DOKSURI,2017,2,3,0,0.0,0,0.0,0.0,0.0,1,0.001720026767065435
WP212017,DOKSURI,2017,3,4,0,0.0,0,0.0,0.0,0.0,1,0.009022871484240422
WP212017,DOKSURI,2017,4,5,0,0.0,0,0.0,0.0,0.0,1,0.035213078076031246
WP212017,DOKSURI,2017,5,6,0,0.0,0,0.0,0.0,0.0,1,0.0812264888988656
WP212017,DOKSURI,2017,6,7,0,0.0,0,0.0,0.0,0.0,1,0.1496145091556645
WP212017,DOKSURI,2017,7,8,0,0.0,0,0.0,0.0,0.0,1,0.1496145091556645
WP212017,DOKSURI,2017,8,9,0,0.0,0,0.0,0.0,0.0,1,0.1496145091556645
WP212017,DOKSURI,2017,9,10,0,0.0,0,0.0,0.0,0.0,1,0.1496145091556645
