storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step
WP102011,NOCK-TEN,2011,0,1,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP102011,NOCK-TEN,2011,1,2,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP102011,NOCK-TEN,2011,2,3,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP102011,NOCK-TEN,2011,3,4,0,0.0,0,0.0,0.0,0.0,1,1,0,0.018612085278419753
WP102011,NOCK-TEN,2011,4,5,0,0.0,0,0.0,0.0,0.0,1,1,0,0.030741223700550997
WP102011,NOCK-TEN,2011,5,6,0,0.0,0,0.0,0.0,0.0,1,1,0,0.07109950301965949
WP102011,NOCK-TEN,2011,6,7,0,0.0,0,0.0,0.0,0.0,1,1,0,0.11438569399144013
WP102011,NOCK-TEN,2011,7,8,0,0.0,0,0.0,0.0,0.0,1,1,0,0.11438569399144013
WP102011,NOCK-TEN,2011,8,9,0,0.0,0,0.0,0.0,0.0,1,1,0,0.11438569399144013
WP102011,NOCK-TEN,2011,9,10,0,0.0,0,0.0,0.0,0.0,1,1,0,0.11438569399144013
WP102011,NOCK-TEN,2011,10,11,0,0.0,0,0.0,0.0,0.0,1,1,0,0.32328985765883167
WP102011,NOCK-TEN,2011,11,12,0,0.0,0,0.0,0.0,0.0,1,1,0,0.32328985765883167
WP102011,NOCK-TEN,2011,12,13,0,0.0,0,0.0,0.0,0.0,1,1,0,0.32328985765883167
WP102011,NOCK-TEN,2011,13,14,0,0.0,0,0.0,0.0,0.0,1,1,0,0.32328985765883167
