storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,max_line_hazard_this_step
WP222016,AERE,2016,0,1,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,1,2,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,2,3,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,3,4,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,4,5,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,5,6,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,6,7,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,7,8,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,8,9,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,9,10,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,10,11,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,11,12,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,12,13,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,13,14,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,14,15,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,15,16,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,16,17,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,17,18,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,18,19,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,19,20,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,20,21,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,21,22,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,22,23,0,0.0,0,0.0,0.0,0.0,1,0.0
WP222016,AERE,2016,23,24,0,0.0,0,0.0,0.0,0.0,1,0.0
