storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step
WP232001,LEKIMA,2001,0,1,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP232001,LEKIMA,2001,1,2,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP232001,LEKIMA,2001,2,3,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP232001,LEKIMA,2001,3,4,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP232001,LEKIMA,2001,4,5,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP232001,LEKIMA,2001,5,6,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP232001,LEKIMA,2001,6,7,0,0.0,0,0.0,0.0,0.0,1,1,0,0.025206575573107612
WP232001,LEKIMA,2001,7,8,0,0.0,0,0.0,0.0,0.0,1,1,0,0.040568077339226453
WP232001,LEKIMA,2001,8,9,0,0.0,0,0.0,0.0,0.0,1,1,0,0.05635612855022028
WP232001,LEKIMA,2001,9,10,0,0.0,0,0.0,0.0,0.0,1,1,0,0.05635612855022028
WP232001,LEKIMA,2001,10,11,0,0.0,0,0.0,0.0,0.0,1,1,0,0.05839785957751241
WP232001,LEKIMA,2001,11,12,0,0.0,0,0.0,0.0,0.0,1,1,0,0.05839785957751241
WP232001,LEKIMA,2001,12,13,0,0.0,0,0.0,0.0,0.0,1,1,0,0.05839785957751241
WP232001,LEKIMA,2001,13,14,0,0.0,0,0.0,0.0,0.0,1,1,0,0.05839785957751241
WP232001,LEKIMA,2001,14,15,0,0.0,0,0.0,0.0,0.0,1,1,0,0.05839785957751241
WP232001,LEKIMA,2001,15,16,0,0.0,0,0.0,0.0,0.0,1,1,0,0.05839785957751241
WP232001,LEKIMA,2001,16,17,0,0.0,0,0.0,0.0,0.0,1,1,0,0.05839785957751241
WP232001,LEKIMA,2001,17,18,0,0.0,0,0.0,0.0,0.0,1,1,0,0.05839785957751241
WP232001,LEKIMA,2001,18,19,0,0.0,0,0.0,0.0,0.0,1,1,0,0.05839785957751241
