storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step
WP022009,CHAN-HOM,2009,0,1,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP022009,CHAN-HOM,2009,1,2,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP022009,CHAN-HOM,2009,2,3,0,0.0,0,0.0,0.0,0.0,1,1,0,0.09704373834297894
WP022009,CHAN-HOM,2009,3,4,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4374176241085815
WP022009,CHAN-HOM,2009,4,5,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4374176241085815
WP022009,CHAN-HOM,2009,5,6,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4374176241085815
WP022009,CHAN-HOM,2009,6,7,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4374176241085815
WP022009,CHAN-HOM,2009,7,8,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4374176241085815
WP022009,CHAN-HOM,2009,8,9,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4374176241085815
WP022009,CHAN-HOM,2009,9,10,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4374176241085815
WP022009,CHAN-HOM,2009,10,11,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4374176241085815
WP022009,CHAN-HOM,2009,11,12,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4374176241085815
WP022009,CHAN-HOM,2009,12,13,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4374176241085815
WP022009,CHAN-HOM,2009,13,14,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4374176241085815
WP022009,CHAN-HOM,2009,14,15,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4374176241085815
WP022009,CHAN-HOM,2009,15,16,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4374176241085815
