storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_failed_lines_new,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step,mean_line_p_fail_this_step,max_line_p_fail_this_step
WP032009,LINFA,2009,0,1,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP032009,LINFA,2009,1,2,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP032009,LINFA,2009,2,3,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.01457679271666326,5.07201704325588e-05,6.522400661174495e-05
WP032009,LINFA,2009,3,4,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.01457679271666326,5.07201704325588e-05,6.522400661174495e-05
WP032009,LINFA,2009,4,5,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.01457679271666326,5.07201704325588e-05,6.522400661174495e-05
WP032009,LINFA,2009,5,6,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.01457679271666326,5.07201704325588e-05,6.522400661174495e-05
WP032009,LINFA,2009,6,7,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.01457679271666326,5.07201704325588e-05,6.522400661174495e-05
WP032009,LINFA,2009,7,8,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.01457679271666326,5.07201704325588e-05,6.522400661174495e-05
WP032009,LINFA,2009,8,9,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.01457679271666326,5.07201704325588e-05,6.522400661174495e-05
WP032009,LINFA,2009,9,10,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.020381929900679642,5.176780943922568e-05,7.24077172699614e-05
WP032009,LINFA,2009,10,11,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.020381929900679642,5.176780943922568e-05,7.24077172699614e-05
WP032009,LINFA,2009,11,12,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.020381929900679642,5.176780943922568e-05,7.24077172699614e-05
WP032009,LINFA,2009,12,13,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.020381929900679642,5.176780943922568e-05,7.24077172699614e-05
WP032009,LINFA,2009,13,14,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.020381929900679642,5.176780943922568e-05,7.24077172699614e-05
WP032009,LINFA,2009,14,15,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.020381929900679642,5.176780943922568e-05,7.24077172699614e-05
WP032009,LINFA,2009,15,16,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.020381929900679642,5.176780943922568e-05,7.24077172699614e-05
WP032009,LINFA,2009,16,17,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.020381929900679642,5.176780943922568e-05,7.24077172699614e-05
WP032009,LINFA,2009,17,18,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.020381929900679642,5.176780943922568e-05,7.24077172699614e-05
WP032009,LINFA,2009,18,19,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.020381929900679642,5.176780943922568e-05,7.24077172699614e-05
WP032009,LINFA,2009,19,20,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.020381929900679642,5.176780943922568e-05,7.24077172699614e-05
WP032009,LINFA,2009,20,21,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.020381929900679642,5.176780943922568e-05,7.24077172699614e-05
WP032009,LINFA,2009,21,22,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.020381929900679642,5.176780943922568e-05,7.24077172699614e-05
WP032009,LINFA,2009,22,23,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.020381929900679642,5.176780943922568e-05,7.24077172699614e-05
WP032009,LINFA,2009,23,24,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.020381929900679642,5.176780943922568e-05,7.24077172699614e-05
WP032009,LINFA,2009,24,25,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.020381929900679642,5.176780943922568e-05,7.24077172699614e-05
WP032009,LINFA,2009,25,26,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.020381929900679642,5.176780943922568e-05,7.24077172699614e-05
